Title,Link,Source,Published,Category,img,Scraped_At
U.S. government scrambles to stop new hacking campaign blamed on China,https://news.google.com/read/CBMihAFBVV95cUxPZmRNdG1YaGUyNzZ6S2VlZ1QtQS1SZklPcHhadFhTNE9taWlWVERtVjZnMElpMzNkMzQ3d1hPcmE3enJBejNZZm5UT2dicjA2RXl0NzRtcEtLc0lQLUpxRkVGYmdaVGZ5Y0NaYkpfTmpObGNMVXVPX3dJUHYzQUJvTXlqSEk?hl=en-US&gl=US&ceid=US%3Aen,The Washington Post,10 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNXZOMU5GWkRkRVdtMW1SVkEyVFJETUF4aWJCU2dLTWdZSnFJcUh3Z1E=-w200-h112-p-df-rw,2025-09-27T12:28:40.112849
China-Linked PlugX and Bookworm Malware Attacks Target Asian Telecom and ASEAN Networks,https://news.google.com/read/CBMihAFBVV95cUxPMDA4MmVqMzFTYTBJUmVBcTEweUR4RkI4ZkJOLUlPUUU3dkF2SXFobzJHaHM4RmdsanRyYzB3SmloTHZyNzZqNWpSQVhGbmJLSGlSTUJmSkNRbkJiNHdEYk9yWnNsVTl0ei1nbVI5YkMwUnppSlRlSWRsV1NVTzh5TVJuWEk?hl=en-US&gl=US&ceid=US%3Aen,The Hacker News,18 minutes ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNUlOSEZXYkVOcFEyWldYMlYzVFJEOEFoallCU2dLTWdZQllJU3p4QU0=-w200-h112-p-df-rw,2025-09-27T12:28:40.112865
"Beijing's RedNovember hacked critical US, global orgs",https://news.google.com/read/CBMieEFVX3lxTE1mR0NWc0pPajY4QU9SdlpuUTBuRTk1UU01cmdPOS1jd01QVnJtNWVXT1d2NG55Z1hZMDkwZTNJNWk3MWcxSEV3Y3BqcGp6TWhfNkpLRmp2WjNDaGVHS2FsTTZ3bFVuN3VJWWZDOTIydERSMm5YOU9xYw?hl=en-US&gl=US&ceid=US%3Aen,theregister.com,1 hour ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNDVkbWhmYVhZMk1ESjZkWFJmVFJDM0FSaVRBaWdCTWdhRlZJcXRKUWM=-w200-h112-p-df-rw,2025-09-27T12:28:40.112868
Cybersecurity Experts Say These Humanoid Robots Secretly Send Data to China and Let Hackers Take Over Your Network,https://news.google.com/read/CBMi9gFBVV95cUxQZ09GMk43UHVGeFM1bmVBVlVRcXlJa0FwUGlOMXNxM194Nk9ZZ0pmMllZbWRGRlZVcGNxNVUxOVV6RE5oZVFXM0w1RVJ1YXRSVmdUZW92cXJ1aGNYSzg4dnRQWnNxMGdiRGMxZTNkNjZYdFoxeFU1djNrNmZUSTlyVlk3Mzhwd25oN0tKa25OQXFkeVF2NUR0YW1QZUJzQlBhTE9FVHlrNUNfbkNBd2MwQjU0NS1SNlNNQmR2VGRzbFpUOHhKaGRjZkNrQzVjbkdMSlZESTM5R0VaRmRvd1JPUkpHNEE0YzB5STJGRGpQUi1rSVhnM1E?hl=en-US&gl=US&ceid=US%3Aen,ZME Science,14 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNDVWR3BDZWtwMFJUZFhNVVF6VFJERUF4aW1CU2dLTWdZTlFJYnRHUU0=-w200-h112-p-df-rw,2025-09-27T12:28:40.112870
Chinese Hackers Steal U.S. IP for Trade Leverage Amid Tensions,https://news.google.com/read/CBMikwFBVV95cUxQWnFDQnpDeXMxeTl1aWlBWHVtWGhIOGlqcGk4WU5tNkhyOTBWQjZCczI3ZTloUVdFNmlfelpTUGhSejNBZmthRHEtcVNZeG9ZVTltdERTaTFkUjRSYTd2elhEVXhiWi1SM0JNMVN1UGFMeENoeFhGS1l4YmxGRG5TQmk3V3RLUGwxbWJxanBhaWhEZFE?hl=en-US&gl=US&ceid=US%3Aen,WebProNews,14 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNW9kbVZNTTFjNGQxRlZiMmxWVFJDQUJSamdBeWdLTWdhdFE1eU9JUWs=-w200-h112-p-df-rw,2025-09-27T12:28:40.112872
The Automotive Update: New low for PHEV sales in China and JLR cyber-attack latest,https://news.google.com/read/CBMixAFBVV95cUxPVTJDd3VGNFMtZmM4UEZ3RklwNEZIMHdneVBkb0t0eWJvUTItVnBGcGxHcXhBSUlGM2YwYU9DTEliNC05cXczZk5reUFZV3Y5WlFyd3FxaUJpajVzN1BjQU9aMnN3eWg1aGJOcTNqMElDRVNnUFJWcVBxazh3ejFmQk1KN19Vck8yc096MWZ6ZG1IdFZWckx1MGEySnBmWVFuanFkWnh5Tm9wbWJmVWJrRHp1TEJLUVY4S1lmMkZUQW9oNm4z?hl=en-US&gl=US&ceid=US%3Aen,Autovista24,19 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNVJRbXhPY0ZGb2VWQkRPRFEwVFJDZkF4ampCU2dLTWdaSmdwTDFzQVk=-w200-h112-p-df-rw,2025-09-27T12:28:40.112874
China’s Great Firewall Now Orbits Earth,https://news.google.com/read/CBMifkFVX3lxTFBUZ2FfRWtzZnU1elF1d0YtNjUwbndMRmROS2NpN0FqdEtTQlQzSU5Cc3Nkay1Zdi0wYmlVRE9md1Y2ZWRxUzJmUHFiQXhZV1FfdFg1ZUxQRkJub3h1cHNvNGNWa09UMlpjd2Uzdm1RSzkzcWRzVWc1dDVkSnZZZw?hl=en-US&gl=US&ceid=US%3Aen,StratNews Global,11 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iL0NnNTJPVUl0TldkRGVHOTZXbXB6VFJDUUF4allCQ2dLTWdtQm9ZUm1RcVZVMXdB=-w200-h112-p-df-rw,2025-09-27T12:28:40.112876
Chinese Hackers UNC5221 Steal U.S. Trade Secrets Using BRICKSTORM Malware,https://news.google.com/read/CBMiogFBVV95cUxOLXA5b0R5YkVOYksxbGNPNUp5by1PNW9pZFNnU1prTjE4dndPX3N1SGZieUZIS1BHMGoycGRMdHV5YjllbFc2Q2lQMFVoY0U2RmlPbkVmZjcweEhYbmlQSkQ3WmN0djRUcnJpRXFjd3lmUDM4R1diNW45QXFPTEg5cmx3ZTdRTFRmYjA4d1lPZ05maXRzSGNsV0lfbU1QSVdWMmc?hl=en-US&gl=US&ceid=US%3Aen,WebProNews,15 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNUVOamhpYXpKVWQycEpZamxUVFJDQUJSamdBeWdLTWdhaGRKYXNLUWc=-w200-h112-p-df-rw,2025-09-27T12:28:40.112878
Cyber criminals upload children's profiles stolen from nursery hack to dark web | ITV News,https://news.google.com/read/CBMisgFBVV95cUxNdHI4aV9hS0Zpc1R6bXhQcWxVQVJ5MG1fTFpUdTJxbHI1c2JHTkw0MXpYMVFSQmhyS0xURUx4YUVQMm9XT2RtdDJ4aWJDcTU5Ri1VODVrUXdhM3VETm42MWVjSU9VVWlhWVZlb2RXZm1ITlhPTkNfeDI4R3dQc3dWWDNmODgyV0dzdmxOZE1QbXFxcEVxVXRwYnFGNS0tbWRWcWx3WDQ0dVJoaDRJUzlpNVRB?hl=en-US&gl=US&ceid=US%3Aen,ITVX,14 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iK0NnNXdUVFF3U0dONVIzRnVOek5MVFJEaEFSaVFBeWdLTWdZQk1JNHFKUVk=-w200-h112-p-df-rw,2025-09-27T12:28:40.112880
Delhi Police arrests three men for cyber fraud linked to Chinese nationals,https://news.google.com/read/CBMi4AFBVV95cUxQaFBjX0dnekxfdmttdzNGT3dnMU42VWZlYUc5Sld4SHFKRmVrM0hiaEhXVVVqOGROZjRWandzTDMwTnZIWUFIZ3d6UnVETnpMcmFqZGYtVENINWFRcXgxU3hXeEF4ZzV1ajdMbXZpWmJjdXJXTF95VnJsN0ZuTWhJeXpPMk5TWHc4UHRpbjlyWm1QektYNDRZWV9WZUlUclVPSHluSGttWldVczBnUi16RUhsVU5PX1hQZ2RRSWZxNldyMmlGWVNNNmZfTG5iaWpVTm5LSU4tZXdua3pwdDBTSNIB5gFBVV95cUxOblJyQlYya1ZZR090U2NuREIyTDFZcXluREVZdGlwWUtkSTBHajhKNUJDQy1HNTV3SXAtX2w1MDZmM05qell5dVBDT1hQNEtPU1JaU0pfQjZ4OXpZaHRRSzZJNjRfY0wwS3lHcTJuUVRUa3RtUE5wcndmMEs0MlJLa1R1RW0td2tVZmdQaUt4OElDTUNFRFZzZ25PUXY2bGRxZlBPWUFlRE9MVzBPVVJ5dlR6UHh4dFd4M09hVXVZRjhCbU5Gd1ROZ1ZCMDVTUnBaVkVlUW9MZzQwR1VjZHpHYzhadWhYZw?hl=en-US&gl=US&ceid=US%3Aen,The Times of India,20 hours ago,China Cyber,https://news.google.com/api/attachments/CC8iJ0NnNWFkMlZMVERaRGJYaDZlVXh6VFJDZkF4amlCU2dLTWdNcEJRQQ=-w200-h112-p-df-rw,2025-09-27T12:28:40.112882
Why Congress Must Protect Cyber Sharing,https://news.google.com/read/CBMieEFVX3lxTE55VVJFX01XTk1LS0d1RmdWVFVYR0poaUNlUUpnQTJaUWhldEs1S1JQY0tWUERlcUpYWTF3bjI1WU42cVVkWHNaRHZfbzN2M2RWRkgxTjdhRlYxMXpKNTFQZUd2V0Z0TlI3NjF6RE14VW9KQzRoY0JyeQ?hl=en-US&gl=US&ceid=US%3Aen,Russian Cyber News,15 hours ago,Russian Cyber,https://news.google.com/api/attachments/CC8iK0NnNTRRMjVwVkhscFVGbzBPVzlhVFJDc0FoajBBeWdLTWdZbFpZek5xUVU=-w200-h112-p-df-rw,2025-09-27T12:28:40.112884
