Title,Link,Source,Published,Datetime,Category,img,Scraped_At
ShinyHunters Leak Coinbase Data After Insider Breach,https://news.google.com/read/CBMidkFVX3lxTFB6R182QTduNEZlMnJqTlVuNmNLQ0FNQWJjWFM5UnFtWGx3by11YWhYNVNYOV9vc3pLR1lHZnJ2aXpMNUxOb25VX1pUQkpqRlgxZEFUdFZZSEY4NHdGa0VnYkZyTDVmdG1kRUdfVHhaUm8xVnRRWnc,More,4 minutes ago,2026-02-04T12:42:21,Hackers,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://sqmagazine.co.uk&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-02-04T12:47:21.570130
Mobix Labs Advances High-Precision Drone Platform to Address Growing Critical Infrastructure Needs,https://news.google.com/read/CBMi6wFBVV95cUxOaFJ3VFp6NERhcXBwdE5UeHlEeE16dndlem5wR0NwNzF5RUNyV2htZV9CWUR2TmIwblNaVGV3bUUyNzFnbGgxdEFDMWs5cTlLX0tHMzVGa0ZFLVYyUTlQUHdXYmYtS0RDS3YzMjdZM2w0NVoxU3RPQjNBNmtCVy1ObkMxeDdiVGRQSFgxaE5CZnRWdTN0Y29hYkxnSGp4UlVCZ2xsVWF2T002a2l2NWVZUVlJdGRjR21BNHVLYTh2RFJrTjNMSWFLYlBldlNYRlh1SFVmckp4MDJPMXVYTVNJcmVMWVdGdUx0enpR,More,7 minutes ago,2026-02-04T12:40:00,Critical Infrastructure,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.businesswire.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-02-04T12:47:21.570140
Ransomware Groups Surge in Q4 2025 – Cyble Insights,https://news.google.com/read/CBMib0FVX3lxTFBlNnhOc1NTaUZmR1BIZmsxVVJuYVRIbkxuem1jajlCUDBnMTlTSm0zelppMUlXaVI2TUQ3UGs1X2QzY0FvVzA5NEF5OW9ZNVNUaDZSWXNQVTdTU29tMHItdFBPd084MEwzOGotcEV1MNIBb0FVX3lxTFBlNnhOc1NTaUZmR1BIZmsxVVJuYVRIbkxuem1jajlCUDBnMTlTSm0zelppMUlXaVI2TUQ3UGs1X2QzY0FvVzA5NEF5OW9ZNVNUaDZSWXNQVTdTU29tMHItdFBPd084MEwzOGotcEV1MA,More,6 minutes ago,2026-02-04T12:39:55,Ransomware,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://cyble.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-02-04T12:47:21.570144
"Opinion | Beyond China, Asia will bear the brunt as US builds walls around tech capital",https://news.google.com/read/CBMixgFBVV95cUxOQktYUUJBYVRQQlJBalNwVGtEbXdTVHRPWmNfTU9UQWtpSXBiSVR2WTU2Z1ZpYWprQmdGaDJ4bW9xdl9PVkx3T2o2cjVid3NQcHhmOEpMOC03Tk4xc2tLdnRKdW0xc2R3NWVPdUs5T1BkUW04cndualBrc1ZPV2VNbmdvLUR0bkVlT1lXRmRUdGRFN01odVM3UFhYMVphZUl4TGdITGlXc1VsUHp3WW5CNG5OWGd1Z3hhT3FHZnZ2OU8zU2tuVnfSAcYBQVVfeXFMT1BNZ0RVRDZhWW03dTJQUHV2YTlRMC1XNmRmc3JCV2dZak1WdnRieHZZczYtdmw3YU80VEVKU2tLUFAxY3ZWamx3T0tYRGRZcjd4aU5RZDVScVpZMkZiandPUWJvdjZMVzdDa1VYQlBQdkt4RTVWSUVoMDBkUWNQdGJ5Sl9COVROSkhIY1YzY3V0SzR5YnVrSS1sZ0ZKdmVLWmp2M05BdTk4Sk5wUElEanlSM09JMmY3MDlIMXJwdk1wQ25GeU9R,More,14 minutes ago,2026-02-04T12:30:38,SCMP,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.scmp.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-02-04T12:47:21.570147
Drones are reshaping warfare faster than doctrine adapts,https://news.google.com/read/CBMikwFBVV95cUxQSmNfQ29FVEo5dkFoWkl1ZXZOMHVCcWpRc1JDdWY5X2RORWNCalhLUnU4dEkwMFNIQ1Y2eUtmc0pIODBEaUJaRWlSbVhTZk5CMEgyXzVBNDdPaU1EMzVuNUgwOE5ETzhlUFhIRkJOOWw0VkphbHVOVFVLcXZ2WkdYVTdxSndZTTVfRTdqajF5Q2tUODg,More,17 minutes ago,2026-02-04T12:30:03,Ukraine Conflict,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://ukdefencejournal.org.uk&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-02-04T12:47:21.570150
US Declassifies Information on JUMPSEAT Spy Satellites,https://news.google.com/read/CBMiqgFBVV95cUxPVi15OERoWFR6VGR3Q1FyWnNpOGFvaWZUUHRVWnFXaDNVV2tUWFN2S0Y1cl80ZDVWSWJ5NlNjTGZuT0RVajhfekxKYmVyNkRCSUdQVGVYV09xSGNWakkxbG1wWDRWX244Vk9xLWZiSEtic1pWSWJJVHpUVGhyZDVoa3FCOUdrdWtkZFd4eVlXVTNLandjYU1qcXN6VlI4ajJIZ1NxbTFiV0JiQQ,More,18 minutes ago,2026-02-04T12:26:48,Schneier on Security,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.schneier.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-02-04T12:47:21.570153
Russian hackers exploited a critical Office bug within days of disclosure,https://news.google.com/read/CBMivAFBVV95cUxOUnpVSTl1czR5T1JWZ1did05HSDZjMEY3cjBsMXkwSmFNQUQtclAwdkllMXRrMEFocWY1WWp5SnFjcHlUY0I2cHFyNEJ1MVEtZUVLb0M2UEk4cndocUZmU2VhZkJnc0hQa0FRd29kLWw0RTdsVU9sU1JtRXVQU2ltSnR0YUgtOG1qYThkRVJIa0Q5OXkyLUE1QjFlQjdVVFUzN1ZHLUZhQ21oX3loUW4xMWZZWVFRT3M0WjJwXw,More,25 minutes ago,2026-02-04T12:21:22,Zero Days,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.csoonline.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-02-04T12:47:21.570155
'Painful times in my marriage' - Melinda French Gates reacts to ex-husband in Epstein files,https://news.google.com/read/CBMiWkFVX3lxTE9QY3N5ZUxJUGNNVERQWENXV3BvX2xhdy1QX2ZTZUgyNVJrUlZlS1lKekJ0QXB3RTBTUFNBV2RqU0dwUFgxUENjSVdMX2dvYlpaZ2RXV3NQVVFpQQ,More,25 minutes ago,2026-02-04T12:20:19,BBC Fresh,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-02-04T12:47:21.570158
Simcardo Highlights Mobile Connectivity as Critical Infrastructure for the AI Economy,https://news.google.com/read/CBMiswFBVV95cUxQYmZLYjQ1RkF1VFVyVW4wdnV4aVNXT0FyYjhBdFNmR0duaG4wQkVwWnFGbmxoNkxvdjdoSGxLbktnOWJjOHdLbFVsdXZOVGpIcXFMY0tSZnhRajhzcWtvaUFBcjdvZE1aek5QVkN3MTFCa2xTUmtFbmFjUmJaQUVYandEMVhLVVFyNGlLU3d6dXhfQUZGRDlsTC0wNW9fSHNIWkVmcGJMOEhpU0pVdE1qU2dmYw,More,36 minutes ago,2026-02-04T12:10:56,Critical Infrastructure,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://aithority.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-02-04T12:47:21.570161
Supply Chain Attack on OpenVSX Registry Exposes Critical Vulnerability in macOS Developer Ecosystem,https://news.google.com/read/CBMixgFBVV95cUxNMy1VeVp0NzVlMUVDa2FReGpJZ01qNVZBNHRUOWV1cmZoUXQ2NTVvQ2NFTHU4SkRYcno2bHh2X1RBMmZfc1pFTEVwVFlfcmYtaWdTblZwMGM5aS1zVldYdFp0YjVKZjhFQ21xT1VpQ2ttVFltUFNkcHkwM2dyMHY1clNZTHJtaGNhV2Z6TTZBYU5MajNXTGJCOVR2dGMyM0lyYVI3OGx1UVp2NXZVWHVzZ2lGZUViNDVRZ2dHU1JBOGNjdVdCWHc,More,35 minutes ago,2026-02-04T12:10:53,Supply Chain,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.webpronews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-02-04T12:47:21.570164
